29412,1600000US1738570,146219,31992,147150,"Joliet city, Illinois",44088,36,0,3432,6837,2406,3640,4125,373,477,3174,446,1480,252,2071,2691,3738,539,4077,2028,54360,121,0,3392,7029,1896,4793,5963,864,508,3045,564,2680,53,3492,2966,7098,1624,3389,2194
44270,1600000US1751622,145757,56457,148584,"Naperville city, Illinois",48173,0,80,1552,6493,3029,3787,2048,515,2002,5228,803,8081,297,985,2876,3633,521,3126,1672,55374,45,118,1008,7434,2948,2512,3347,443,1771,7616,1373,8124,361,1512,4964,5834,379,2143,1346
24488,1600000US1759000,113824,30885,115637,"Peoria city, Illinois",29260,0,80,1186,6930,884,2591,854,0,1099,1734,475,1964,112,699,1284,3879,693,1543,1295,32202,0,0,1044,6365,414,2205,1277,455,523,1169,654,2416,0,1205,3018,7210,344,2213,977
25454,1600000US1765000,146371,27005,148287,"Rockford city, Illinois",40254,138,49,1252,11081,1770,3587,2533,88,1305,2304,787,1156,120,1544,1181,6231,243,1973,1227,40580,92,0,1845,11924,1146,3526,1710,305,560,925,510,1445,0,2009,1472,6680,501,2589,840
27236,1600000US1772000,113916,32652,114663,"Springfield city, Illinois",36108,55,45,1375,1400,1125,2761,938,309,999,2865,542,1967,0,549,2677,6910,728,2951,5990,35686,0,70,2110,1806,957,3220,1493,392,642,2491,465,2032,0,865,2235,6332,452,1664,7084
22835,1600000US1822000,110211,26540,117940,"Evansville city, Indiana",31459,50,122,2226,6501,1484,4426,1064,599,719,1946,168,1406,0,671,1365,4698,635,1395,1039,37570,51,0,1347,7207,571,3663,2129,911,718,2101,429,1707,80,2510,1943,4858,959,3264,1799
28357,1600000US1825000,250284,29513,254796,"Fort Wayne city, Indiana",82420,312,62,3668,20705,3541,7234,5270,413,2565,4263,1655,3891,78,2605,3639,10997,1250,4263,2288,86216,45,0,5177,19078,3528,7949,5435,456,1758,5061,1608,3627,102,2519,4113,12589,1297,5878,1942
28574,1600000US1836003,793010,31282,857386,"Indianapolis city (balance), Indiana",255722,409,262,18770,34854,12498,22115,15846,1447,7857,19848,5350,17015,544,13141,13947,29586,3452,13111,14164,302391,284,250,16151,38198,8278,31204,24695,1793,5494,14712,5657,22700,853,16892,18208,46396,5216,18823,14414
29734,1600000US1912000,128324,33529,132240,"Cedar Rapids city, Iowa",44388,69,44,1793,8495,1639,5024,2165,999,2140,3858,416,2431,0,1224,2834,5960,354,1340,1562,48321,553,0,4224,7579,1231,4603,2275,694,1235,3660,607,2885,0,2080,2863,7386,876,2429,2222
23752,1600000US1919000,99084,31144,102314,"Davenport city, Iowa",28769,208,0,959,5394,1576,3352,1931,331,1197,1285,661,1348,0,567,1364,3242,889,1008,1723,35116,155,96,2723,7079,720,3768,981,204,548,1594,345,1650,26,1981,2138,4036,886,1951,2061
26990,1600000US1921000,190976,31111,217508,"Des Moines city, Iowa",62530,0,0,4610,6034,3603,5948,3645,393,1874,9941,1593,2414,187,1269,3233,7629,1023,3114,3822,84613,741,0,6001,12035,2028,8366,3089,519,1031,12307,1354,4408,70,3865,3600,10039,1417,5809,3618
22563,1600000US2036000,139866,29191,155031,"Kansas City city, Kansas",39504,47,48,3341,5463,1112,3755,2661,757,732,2022,709,1328,49,3495,2361,5032,380,1765,2419,51731,128,32,7181,8168,1471,5253,2836,962,1103,2204,672,2398,137,2659,2637,5822,427,3343,3100
33428,1600000US2052575,118423,42391,137500,"Olathe city, Kansas",43775,0,104,3167,5057,3182,4349,2096,321,3428,3099,943,3408,121,1446,2692,4670,274,1418,2224,56227,190,184,3413,7674,1795,6220,3350,398,1928,5073,959,5946,80,2130,5154,6330,625,1250,2445
37183,1600000US2053775,161909,42104,191263,"Overland Park city, Kansas",61911,0,76,2593,5997,3105,7273,1705,320,5928,6677,1638,7869,163,1114,3323,6781,561,2982,1473,76821,305,0,2447,6641,2644,6989,3513,245,3210,7457,1946,13466,165,2548,6829,9147,1320,3984,2180
25062,1600000US2071000,122630,32958,126588,"Topeka city, Kansas",38709,178,39,2435,3190,1138,3924,2107,628,1259,2713,890,2091,124,1078,3169,5664,337,2395,4169,43584,132,0,1851,6767,863,3857,1434,808,797,3702,935,1444,0,1114,3544,6836,261,2062,5610
26449,1600000US2079000,361016,29978,390599,"Wichita city, Kansas",116123,50,466,8719,31631,4138,9349,5559,689,2168,5071,2502,6489,283,3724,6415,13412,1381,5071,5088,133946,688,840,9093,29463,3270,12926,4986,1018,2276,5029,1657,5710,305,5593,9567,20009,1162,7922,7049
26779,1600000US2146027,279044,30005,321959,"Lexington-Fayette urban county, Kentucky",93939,912,106,6424,14161,2867,8555,3708,783,3080,4038,2410,6691,454,3124,10429,14812,837,3372,4303,114014,2095,60,4771,14409,4242,12320,3418,630,1892,5046,3053,9362,74,4262,13068,17609,1864,5516,4480
26960,1600000US2148006,561398,31988,621337,"Louisville/Jefferson County metro government (balance), Kentucky",172306,323,64,10500,26855,6170,17856,12119,919,3483,11774,3519,10971,753,5462,9812,23351,2659,7891,7507,219305,487,213,13395,33137,6869,22024,16748,1629,4324,15002,3778,13923,558,7776,16614,29761,3171,12949,7572
19707,1600000US2205000,231037,23174,225370,"Baton Rouge city, Louisiana",60075,0,238,4504,4107,2094,5355,3146,653,1285,3521,642,5060,106,1289,5084,7388,819,4597,6499,68117,0,592,6092,5854,1110,9172,2787,462,1576,2813,1109,4265,0,2031,5942,10827,838,5438,4520
25187,1600000US2240735,114495,29227,126847,"Lafayette city, Louisiana",37565,54,4342,1331,1433,1305,3719,1588,158,768,1219,1207,2439,141,1078,2352,6803,439,3666,2035,43086,118,2904,2352,2121,1280,4127,1277,469,1290,2223,970,2734,0,1571,3801,8628,962,3085,1820
32615,1600000US2250115,130060,37037,146847,"Metairie CDP, Louisiana",46707,209,187,5656,3261,2689,4255,1630,432,581,2230,839,5200,0,2314,2601,5170,1282,4113,2249,57445,107,729,6833,3191,2258,3031,3634,765,858,3124,1312,5598,43,2387,3583,7282,1569,4198,3248
21458,1600000US2255000,239124,29751,393292,"New Orleans city, Louisiana",61819,134,1005,5964,2154,951,4066,3211,987,1145,2293,2142,5414,43,2837,6126,8368,1772,5972,4136,125089,392,1037,5383,4353,1993,10063,7458,1307,2311,4531,3156,10990,105,4659,14621,19155,3860,14887,9513
21921,1600000US2270000,200031,24303,191715,"Shreveport city, Louisiana",49917,45,1018,1793,4695,2624,4761,1718,355,1510,2287,534,1700,0,2301,3864,9405,2900,3291,1588,56888,594,518,4532,3140,1249,6853,4318,216,1572,1126,694,3302,0,1590,5470,11527,1857,2982,3146
27121,1600000US2404000,637455,35251,611648,"Baltimore city, Maryland",179053,103,102,8845,11107,3028,13906,10905,1364,4333,10008,4025,12053,377,6024,17611,35091,1985,8250,22540,204737,581,71,8649,9094,2433,15124,14693,2695,4495,7818,6004,15234,80,9162,23887,44705,2368,9576,19136
50886,1600000US2419125,93266,57696,103709,"Columbia CDP, Maryland",35844,0,0,1092,2448,1922,1874,1000,206,1344,1813,1124,6197,123,1367,2396,3888,212,1474,5328,43426,0,0,1702,2209,423,3022,1217,173,1615,2021,876,7321,147,825,4440,5612,91,2288,6276
31034,1600000US2507000,613117,38884,683015,"Boston city, Massachusetts",194612,660,0,6976,10579,4336,12278,5859,1082,6379,19866,6082,21444,77,9666,18241,34621,1588,15273,10665,268919,141,0,10101,14700,2574,18956,9862,1847,7272,22397,6949,38309,301,11738,29715,50312,2360,19281,12028
31205,1600000US2511000,95736,45924,113631,"Cambridge city, Massachusetts",32050,0,0,828,1049,424,1395,499,63,1504,2051,308,7004,107,125,7442,4700,497,1566,992,45115,0,145,528,3746,453,1747,654,257,1197,2869,459,11163,89,1605,9446,6331,867,910,1344
29338,1600000US2537000,98663,32224,111343,"Lowell city, Massachusetts",30707,65,43,1798,8004,522,2483,642,118,1011,1537,594,2677,0,1551,1365,4634,372,823,1149,35581,0,0,2114,8292,752,3569,1817,0,534,1430,588,2428,0,1921,2870,4330,630,1746,1249
25185,1600000US2567000,149455,26587,154763,"Springfield city, Massachusetts",38461,133,0,2215,5983,1824,2953,1789,259,1332,3058,780,1951,0,1399,2200,6235,569,2795,1346,38935,47,0,1686,4755,1040,5085,1583,765,450,2003,1044,1213,0,1152,2643,8767,465,2864,2364
27002,1600000US2582000,173599,32460,185685,"Worcester city, Massachusetts",52902,122,0,3578,8104,2013,4519,2043,714,1384,3933,635,2604,45,1526,4640,7711,738,3163,2853,55590,0,0,3564,6401,591,5739,2084,109,658,4011,615,3012,178,1735,5506,14040,916,1804,2818
21877,1600000US2603000,116168,25748,121461,"Ann Arbor city, Michigan",31618,0,0,359,3605,606,2422,175,104,1289,1896,796,3306,60,240,8073,5320,806,1248,625,38446,0,0,288,3931,601,2457,938,310,722,984,286,5484,206,434,11260,6452,650,1115,934
21935,1600000US2622000,808327,24677,673103,"Detroit city, Michigan",152609,943,0,4305,27720,3200,11116,8663,2747,4985,8632,1843,4712,277,7125,6493,26953,4479,9046,12449,155535,196,54,6358,29328,2804,10289,7906,2604,2736,8585,2905,6908,229,8851,7275,27866,3225,13802,7067
21137,1600000US2634000,192252,27050,198811,"Grand Rapids city, Michigan",53406,619,0,1920,12557,2361,5216,2340,189,1763,2821,527,3279,59,2039,2861,7200,470,3701,866,70490,1107,0,2795,13371,4226,7265,2223,80,1790,2821,1413,5179,118,1691,5441,12500,747,4507,899
23084,1600000US2646000,118123,25272,115451,"Lansing city, Michigan",33255,50,0,1295,4694,669,3055,1192,188,990,1756,311,2398,0,2193,2486,4339,45,1155,4703,37413,112,0,1172,5178,502,4044,3723,194,555,1710,724,2029,80,1617,3356,4952,382,1734,2595
29367,1600000US2676460,131584,36203,132628,"Sterling Heights city, Michigan",39185,0,0,1057,10079,1250,5250,1261,180,867,2053,718,2914,200,785,1321,4404,463,2169,1880,44267,91,0,2651,11039,1775,4450,1825,83,236,3355,287,2619,0,1296,1862,5949,603,2390,2036
29071,1600000US2684000,126000,31150,135029,"Warren city, Michigan",35973,47,0,1918,9928,1563,3495,1460,380,526,1637,584,2580,213,1006,1512,4442,445,1570,1019,43491,33,0,2182,12247,1082,3549,2834,288,608,1704,978,3248,85,1435,2137,5425,514,2149,1488
29257,1600000US2743000,351184,34941,422326,"Minneapolis city, Minnesota",116381,0,0,4272,14118,2945,10482,4764,518,5097,10392,2198,12822,504,5666,8167,15656,2243,7856,4339,161037,347,53,5992,18506,4074,12388,4681,735,4454,11864,3813,21275,627,7654,16700,23084,3501,9072,5746
31914,1600000US2754880,96212,43153,115733,"Rochester city, Minnesota",34998,145,0,1542,3725,492,2435,1537,282,610,958,150,2199,0,351,1676,13574,243,2976,969,43669,304,0,1171,3824,1062,3252,946,362,893,1292,379,2116,0,565,3050,19309,445,2029,1567
29582,1600000US2758000,266258,30910,306604,"St. Paul city, Minnesota",81771,538,0,2823,10480,2945,7941,3418,53,2712,6719,1465,6230,210,3514,7336,11424,1100,3854,5083,102227,298,0,4225,13869,2986,6970,5319,332,2568,6981,1651,6975,273,3210,11299,16413,2348,6421,6175
21191,1600000US2836000,178784,25822,167250,"Jackson city, Mississippi",48378,0,0,3638,3657,1866,5932,2377,658,1351,2669,784,2439,0,1047,3183,10034,202,3174,2968,52389,146,41,3057,4785,1101,5840,2251,427,846,2263,668,2296,0,1554,4111,10860,610,4249,3959
19174,1600000US2915670,92937,21425,121720,"Columbia city, Missouri",27612,0,0,1050,1809,1296,2961,836,314,688,2024,711,964,0,492,5284,4734,495,1701,1234,39034,360,132,2120,2145,1259,3261,2156,680,610,2869,391,2322,0,596,5866,8337,173,2639,1899
28380,1600000US2935000,110741,31315,117308,"Independence city, Missouri",33665,0,0,2316,5278,1137,3964,1956,416,1728,2915,474,1916,65,1179,1632,3593,461,1823,1586,39509,124,0,2927,5534,1875,5298,1977,340,716,2854,359,1517,41,1437,2652,4131,488,3684,2114
27036,1600000US2938000,437657,33575,488825,"Kansas City city, Missouri",142930,171,141,6302,15364,5384,12152,8709,1408,6450,12012,2333,11994,40,6340,6352,18322,3906,8545,9214,191440,484,94,8924,15501,3729,16338,12202,1832,4540,15571,4909,23817,223,8773,12385,27680,4378,11491,11033
24245,1600000US2965000,350759,31207,308626,"St. Louis city, Missouri",99584,374,63,3819,9743,2419,10213,5750,719,2571,4956,2318,5978,201,2806,8651,16495,1851,7611,7543,112368,306,161,3766,12430,2538,10147,3248,1193,2460,6174,2064,10111,130,4984,12039,18673,2734,8330,6588
20076,1600000US2970000,157216,23704,167376,"Springfield city, Missouri",46670,103,0,2823,5367,2104,5374,2123,363,1152,2275,1100,2570,53,1821,2295,8205,179,4181,1622,53951,0,51,2085,5997,1662,7310,2430,117,856,3337,1104,2893,170,3297,4730,8927,823,4256,1432
24149,1600000US3006550,96588,31913,109642,"Billings city, Montana",32891,652,225,2254,1989,1628,3850,1786,234,961,1959,1468,1947,0,536,1080,5186,1140,2709,2142,40174,393,519,3340,2245,1905,3940,2657,322,1172,2407,357,2040,0,1479,2314,7851,582,2854,1854
25246,1600000US3128000,250693,31268,284734,"Lincoln city, Nebraska",85691,332,0,5505,9786,2993,8248,4828,1146,1996,6146,1525,5158,251,3285,7351,12518,682,3498,7650,109340,1067,24,7472,11941,3109,9158,3595,1274,2061,8934,1233,7650,426,4274,13420,15498,1469,5039,7405
26139,1600000US3137000,374344,33114,466903,"Omaha city, Nebraska",122130,489,0,9302,13966,5107,10535,6896,813,3963,14205,1757,8180,424,6461,8398,14626,3407,5530,3446,173384,946,95,12873,16069,4357,18288,8570,1131,4544,18001,3800,12750,185,8055,12789,27042,2859,8930,5332
36666,1600000US3223770,77500,40643,168011,"Enterprise CDP, Nevada",28305,0,0,2137,608,468,3027,1409,131,143,1860,580,2195,0,841,739,1757,4034,6012,1170,61397,43,189,2350,2469,1169,4665,3423,540,2191,2860,1791,3267,48,3519,2957,5269,6475,14823,2365
37616,1600000US3231900,247160,40362,302535,"Henderson city, Nevada",85746,277,0,9625,4780,4539,7002,3838,1446,1019,5618,3276,5672,86,4896,4360,7575,6584,8479,4871,103809,0,224,7957,6522,3641,9868,5785,1737,1077,5390,2784,7609,241,4957,6837,11536,8755,9514,5473
30997,1600000US3240000,562582,32753,641708,"Las Vegas city, Nevada",190632,108,214,24771,6566,4114,17401,6935,1053,3873,11468,6971,10048,415,11059,9176,12136,15908,35053,6994,218681,33,205,18001,8061,4257,21006,12015,1977,3674,7479,4540,15279,132,14235,13740,23950,16764,32597,10159
30394,1600000US3251800,206780,31030,242949,"North Las Vegas city, Nevada",67536,49,103,12754,2620,2106,6746,2913,424,1046,2837,2239,2743,173,4587,2769,5456,3770,8757,3474,80314,80,43,8246,3654,2144,8777,4761,585,573,2833,1381,1965,0,4462,3550,8926,5835,12932,5998
28976,1600000US3254600,194586,28957,235123,"Paradise CDP, Nevada",74577,0,0,7374,2520,1452,7473,2763,792,1355,2268,2291,3510,213,3591,2523,4012,9029,19123,2091,86420,63,110,4555,3658,1012,8678,7093,638,1321,1577,2067,3552,0,5842,4320,6188,8770,20135,1679
28501,1600000US3260600,206869,32191,248860,"Reno city, Nevada",66793,119,450,6079,6413,3345,7210,3961,329,1129,2613,2230,3542,251,4067,4066,6494,4923,5209,2282,89993,143,257,5944,7855,3550,10084,5556,668,1343,3249,2112,7540,39,2158,6327,11373,4720,9438,4563
32158,1600000US3268400,80394,33493,100878,"Sparks city, Nevada",29015,94,54,3510,2782,1250,1952,2040,471,412,1123,565,1305,58,1120,2426,2458,1217,2236,2560,37453,542,376,3546,4258,1346,4467,2611,170,1032,1228,816,1734,54,1083,2093,4518,1257,2711,2239
32290,1600000US3268585,161132,31513,211280,"Spring Valley CDP, Nevada",62730,0,0,4809,1953,1176,5408,2902,867,977,2821,2945,4459,0,2762,1650,4419,7045,15133,1584,76968,0,0,3215,1572,1118,8056,4974,852,1312,3005,2016,4058,0,4620,2678,7624,7036,19008,2241
26233,1600000US3271400,194580,26545,193055,"Sunrise Manor CDP, Nevada",59188,0,191,8183,2712,1501,5128,2757,518,900,2485,1185,1929,116,3064,2012,3802,4623,12112,2111,64249,0,201,7426,3276,1727,6245,3975,65,626,2098,1278,1312,0,4531,2726,4351,5165,13682,1672
29898,1600000US3345140,108354,34924,111194,"Manchester city, New Hampshire",35526,45,0,1697,6721,2314,3380,2252,680,833,2817,969,1606,0,1866,2070,3830,267,1120,1063,42580,0,0,2161,6026,989,5007,1838,98,1482,2924,922,3195,231,2387,3532,5769,558,2945,1297
26675,1600000US3421000,130159,27228,130222,"Elizabeth city, New Jersey",46954,0,0,3982,7823,1132,3378,7098,409,1207,1764,1051,1953,0,3429,2103,4425,318,2855,1516,49595,0,0,4688,6900,2670,3504,8396,142,752,871,1671,1224,92,3477,2260,5111,431,3346,1807
31847,1600000US3436000,222653,41965,270750,"Jersey City city, New Jersey",70019,0,0,1258,4368,2310,5230,6355,190,2740,10356,1494,6864,110,3447,4218,8335,1154,3940,3305,107197,34,81,3745,5382,3435,10386,8742,530,4470,14544,3227,14722,227,4146,6749,11383,1919,6164,3511
24655,1600000US3451000,270007,27435,285156,"Newark city, New Jersey",68449,44,0,5015,7092,2692,5734,7746,312,1065,3649,1559,3244,140,3217,3323,11042,464,4239,4437,83413,195,40,9088,7402,3024,5989,9029,84,1459,2682,2114,3874,161,4218,5373,12933,679,5315,5331
26280,1600000US3457000,135831,26269,148678,"Paterson city, New Jersey",40383,0,0,1789,9839,993,4600,2858,228,415,1415,328,2206,62,2127,1999,6154,68,2391,1200,48268,0,0,2773,10234,1814,5714,4093,435,1179,1070,1509,1275,0,3413,1720,6469,204,2467,1716
26218,1600000US3502000,511893,31177,558558,"Albuquerque city, New Mexico",155439,1065,215,14018,10882,6220,14577,6570,1324,4033,7770,2946,17459,0,6301,11955,20584,3340,7976,12214,183039,919,1040,15798,7084,3622,17529,5177,1223,3684,10503,3258,21040,169,7324,20467,30182,2584,10416,12731
21039,1600000US3611000,264292,25127,258592,"Buffalo city, New York",62409,94,81,1957,9131,2445,5930,2093,704,1480,4225,1683,3173,47,3505,4814,12281,808,2551,3172,78125,0,0,2798,7966,2331,6284,4152,627,1612,5894,1731,4569,32,3681,7962,14215,791,5549,4691
31683,1600000US3651000,8274527,38430,8622698,"New York city, New York",2632009,776,579,144526,133105,81377,215972,176133,11773,109201,235305,95507,226127,3240,99369,182543,425006,53428,172420,129832,3021834,2173,218,168679,104060,65428,236710,200294,14002,127145,223473,106980,317230,3831,118418,249171,523938,65453,203285,138820
22454,1600000US3663000,204122,27261,208049,"Rochester city, New York",55087,0,0,1447,7745,1382,6250,1533,437,2641,2867,668,3189,128,2430,4464,11942,820,2773,2364,62205,189,0,2964,8122,1846,5711,1550,361,1955,2991,644,4816,56,2202,6403,13357,1132,3313,1947
16905,1600000US3673000,139600,24940,143398,"Syracuse city, New York",30176,0,143,2051,3132,814,2680,1505,435,1304,1807,754,1560,0,748,3206,5858,430,1771,941,33900,52,0,1147,2907,766,2336,1999,612,832,1459,934,1688,0,1702,3819,7967,684,2631,1428
35278,1600000US3684000,196806,36078,202008,"Yonkers city, New York",65765,103,0,4490,4820,2628,6944,3825,703,2509,4771,3171,4668,120,1926,5259,8065,1032,2307,3686,68593,0,0,5906,2156,2137,4770,4936,639,2250,3855,2321,4932,27,2721,6232,14485,1224,2848,2374
42447,1600000US3710740,124269,54170,166032,"Cary town, North Carolina",45813,112,46,1442,5829,1337,3916,621,581,2353,4082,1800,9684,60,1170,3135,3888,862,814,3369,65252,122,0,2626,7822,1484,3835,1602,469,2065,5011,611,16834,201,2369,5566,6690,799,2848,2621
31068,1600000US3712000,675229,36267,859052,"Charlotte city, North Carolina",231811,137,49,18883,19310,10701,20321,10974,2981,7074,34111,9527,21328,642,8089,10240,25832,1994,13154,5656,344743,451,108,24822,30849,13311,31029,16638,3501,10047,49258,8660,35218,670,16522,20568,36099,6755,22307,6033
26989,1600000US3719000,216279,36968,267932,"Durham city, North Carolina",71568,259,0,5055,5680,1663,5921,1743,525,2548,2562,1616,6248,57,3582,10412,13829,411,3972,3812,105234,91,0,5560,7998,2565,6170,3274,49,2115,5557,3017,12410,146,4602,15365,18277,658,7686,4225
24449,1600000US3722920,170197,24873,209913,"Fayetteville city, North Carolina",40764,300,0,2823,4123,1160,4512,1765,84,1367,773,981,1960,75,995,3104,7524,287,2425,4536,55356,510,0,3471,5491,783,6664,2568,446,1048,1302,1238,1851,0,2457,5503,9617,773,2802,6946
25321,1600000US3728000,246800,29366,290201,"Greensboro city, North Carolina",75724,59,0,5951,10922,3176,8674,3922,49,2238,5857,2050,3264,223,3294,5759,10181,1245,4008,2755,97035,26,15,2916,16164,2847,10439,6387,47,1557,6210,1854,4869,0,4140,9222,15935,812,7249,2387
28312,1600000US3731400,97606,29748,111213,"High Point city, North Carolina",28560,112,0,726,6997,1515,2643,2212,66,562,2584,320,1506,0,789,1903,3554,524,1529,243,35639,14,0,1263,8039,1113,2683,1629,148,431,2614,258,2567,0,2173,3331,4528,268,1926,1483
30286,1600000US3755000,354188,37442,464972,"Raleigh city, North Carolina",127326,0,228,10339,10119,4125,12161,2792,1123,5570,8099,2739,17631,138,5194,9529,13850,2329,6726,8610,191415,621,81,11728,17961,4215,15292,7787,1884,6456,12132,6750,26214,413,7741,14674,23835,1709,12706,11084
21360,1600000US3774440,99117,30746,119048,"Wilmington city, North Carolina",27615,0,0,3019,3324,734,3675,271,224,844,623,1413,2104,0,1080,2004,3767,67,2724,343,41926,383,0,4126,3859,1052,4069,1160,170,1132,2869,1806,3630,0,1677,3845,6156,392,3289,1083
23716,1600000US3775000,212615,29269,244592,"Winston-Salem city, North Carolina",66799,76,0,5967,9554,2146,7974,3562,154,1673,5135,1037,3178,223,2206,4574,9897,1009,4786,1860,79276,178,0,3954,10668,1807,7123,4562,462,1175,5613,1106,5659,92,3719,6002,15961,819,4572,2606
21708,1600000US3825700,92565,31331,123590,"Fargo city, North Dakota",31594,112,0,1993,3268,1945,2426,1845,0,1189,2370,410,2919,69,1431,2422,3871,251,2166,868,50576,965,184,2899,6164,1926,6670,989,139,318,3926,835,2974,68,1376,2846,9923,262,3590,2966
23699,1600000US3901000,196073,23812,197849,"Akron city, Ohio",57021,0,0,3387,12012,1611,5821,2785,1023,1528,2175,596,2166,43,1686,3369,9875,562,3274,2295,60124,24,63,3096,11416,2110,7005,2669,1233,1240,2430,402,2063,96,3537,3630,9895,393,3059,3120
24969,1600000US3915000,297304,28547,301305,"Cincinnati city, Ohio",85063,0,54,2708,10278,2170,8984,4146,901,2332,6008,1164,7529,223,3127,4974,17536,1277,4815,4164,101704,102,0,5317,12663,2173,9743,4264,734,2089,6481,1670,9781,621,5459,8399,17011,1451,6221,3853
22216,1600000US3916000,395310,25057,385552,"Cleveland city, Ohio",96984,462,88,2837,17531,3433,7507,5615,1107,1236,5453,2294,4749,0,3732,5858,18399,1046,4014,7355,105147,110,48,4037,16684,2956,9025,4656,1000,1766,6106,1855,5887,185,3745,7299,20897,1888,6349,6454
27311,1600000US3918000,732974,31401,881901,"Columbus city, Ohio",236712,76,0,11890,20969,10669,26480,10650,1971,7599,23797,5361,17375,683,11023,14659,32951,3066,12140,17120,322740,575,25,11664,31140,10112,33736,18194,2476,6341,32949,4717,23504,316,17028,24423,50935,4363,18587,18249
19623,1600000US3921000,146360,19329,140379,"Dayton city, Ohio",33220,0,0,1646,5624,487,2957,564,332,982,1739,59,1755,0,1599,2277,5440,576,2274,3470,32226,0,0,2070,4318,506,2307,1851,220,209,1878,395,1262,141,682,2342,7601,325,2791,2371
