22703,1600000US3977000,283851,26159,276494,"Toledo city, Ohio",74449,131,188,3491,14143,2744,9007,4460,668,1069,2920,1299,2726,113,2280,4955,12774,717,4139,3658,79070,107,0,3834,18029,2788,7962,4468,559,1172,2449,602,3610,257,2081,5706,14310,634,4731,2916
31328,1600000US4009050,92256,37309,110468,"Broken Arrow city, Oklahoma",35134,0,363,2315,4632,2067,3666,2351,333,1289,2182,939,2366,100,1157,2356,4421,624,1183,1150,41026,167,989,2232,6454,1748,4225,2181,497,1193,2451,774,2925,102,1165,2283,5621,796,1031,1875
19942,1600000US4052500,107155,26564,122842,"Norman city, Oklahoma",30219,0,402,1600,1989,621,3468,803,132,1150,973,162,1368,0,812,5889,4207,451,2318,2134,40813,182,542,2473,2481,598,5127,1140,242,878,1577,770,3294,0,866,6161,5291,1340,2231,4170
26485,1600000US4055000,546930,31589,643574,"Oklahoma City city, Oklahoma",174507,239,3483,13078,16962,7852,18205,6304,1972,4894,11495,4907,12361,175,6850,9393,21959,2144,8146,16858,224639,967,9452,17050,18373,6499,25551,9681,2013,4513,13064,4494,15562,331,7305,13930,31833,3385,11522,18392
25270,1600000US4075000,389536,29511,402227,"Tulsa city, Oklahoma",125746,206,1724,8437,19190,7054,11737,5725,1365,6522,7316,4107,7812,281,5427,5329,16310,1445,5654,3535,135238,276,3452,9347,18190,3857,13450,5730,1829,3695,6204,2812,9528,404,6298,8942,18704,2659,8133,5170
23698,1600000US4123850,153612,23891,168909,"Eugene city, Oregon",42360,150,0,2361,6216,1418,5843,1087,163,1087,1516,600,3749,0,2074,5154,4661,480,1246,2466,45396,466,0,2262,5491,1746,4863,1385,244,485,1769,1656,3414,0,1740,5727,8025,260,1766,2323
26363,1600000US4131250,98401,32407,111039,"Gresham city, Oregon",28856,642,0,3015,4430,2477,2497,1902,332,170,1556,711,832,74,881,887,2651,259,1898,1135,34776,539,0,2903,5417,1617,3024,1769,172,222,2238,791,1413,0,1567,1091,6486,673,1485,1021
26925,1600000US4134100,85096,40179,106903,"Hillsboro city, Oregon",25790,760,0,964,7615,1054,2545,629,104,520,1204,524,1286,0,1673,747,2741,201,1128,965,40471,977,0,1505,12873,675,2866,912,414,1123,2466,905,3108,437,1422,1341,4587,124,2267,1675
28871,1600000US4159000,550795,36382,648121,"Portland city, Oregon",174012,2461,0,11819,22256,6994,17853,9390,2258,6401,9316,2856,17377,344,5143,9168,20277,3734,10640,8734,243603,1055,33,10623,27440,9450,21581,10503,2749,6416,11928,5258,30728,576,7697,20699,35822,4633,15164,10909
22832,1600000US4164900,150039,30576,169790,"Salem city, Oregon",41446,1807,0,3900,4265,1045,4493,971,283,1577,2529,572,1443,0,1468,1828,4925,940,2357,5554,52358,2031,0,3856,6988,1311,5566,1027,237,988,2702,1468,1720,0,2260,3172,7712,557,2440,6525
21833,1600000US4202000,108459,23154,121278,"Allentown city, Pennsylvania",29667,27,0,2143,3865,1280,3294,1922,225,1468,1201,611,1386,0,1218,2053,4876,0,2727,491,34780,42,0,1965,5566,1894,3821,5055,700,279,972,302,1899,326,1416,1842,5258,403,1132,395
26358,1600000US4260000,1449634,32011,1580863,"Philadelphia city, Pennsylvania",378973,402,59,14878,34293,11505,28439,20478,4043,9696,21870,7129,28346,337,17104,31892,70957,4557,21406,35060,479481,278,179,19532,32974,12864,36587,30371,3916,9934,26797,8267,41968,426,21725,47098,95479,6432,27158,35918
22571,1600000US4261000,290918,30239,302414,"Pittsburgh city, Pennsylvania",77101,83,100,2815,5400,1667,5897,3254,1540,1783,6494,1725,5681,114,2654,10998,14457,985,4126,3793,107376,44,600,3294,6666,1681,8789,3316,1107,1910,9294,1418,12153,453,4156,13934,20926,1414,7004,4196
20798,1600000US4459000,168846,25877,180388,"Providence city, Rhode Island",43709,0,0,2898,7168,910,4763,1294,61,763,3135,179,2253,174,1780,2924,8908,890,2689,1121,56109,198,0,2941,6465,1692,5492,2107,62,1222,2249,1224,3067,386,3707,6355,8805,849,4623,1584
31679,1600000US4513330,114351,38285,139906,"Charleston city, South Carolina",38557,0,0,2740,2045,1366,2754,3783,259,969,2442,1705,2744,0,1191,3474,4997,871,2758,2789,55956,366,0,4616,2654,1927,4755,1308,263,1185,2904,1750,7585,0,3670,4859,8532,1073,3716,1632
17536,1600000US4516000,114654,21223,133578,"Columbia city, South Carolina",28673,58,0,1531,2194,750,2227,644,550,1505,2547,1068,2564,71,1026,2331,3486,340,2321,2694,40870,376,0,1766,2598,960,3104,1397,684,797,3501,724,2820,34,2274,5260,6469,380,2635,2863
25393,1600000US4550875,83422,24929,112742,"North Charleston city, South Carolina",28668,0,0,3113,2646,656,3222,2446,224,453,649,493,961,47,1282,1109,4699,138,1747,3329,39460,0,0,4032,3215,646,3840,1857,1057,1046,1666,937,2458,0,3293,1983,5622,392,3749,1928
25892,1600000US4659020,147932,32992,176898,"Sioux Falls city, South Dakota",52591,65,59,2865,5444,2188,6917,3001,298,1578,8404,795,3019,138,1424,1626,8103,1013,1915,1767,71579,450,0,4747,8642,2535,8675,2028,126,1754,9056,1003,4077,96,2554,3432,13469,984,3182,2184
22951,1600000US4714000,161365,29532,179130,"Chattanooga city, Tennessee",45882,0,62,2753,6922,1426,3087,3145,1441,954,4063,978,2620,0,2189,2409,5876,1043,1900,2197,59787,137,0,1912,9624,1370,6610,2514,1264,1939,6055,1282,3465,419,2365,2889,11131,425,4348,1370
26763,1600000US4715160,119216,31372,153210,"Clarksville city, Tennessee",31357,38,0,1851,5505,340,3180,2565,0,323,953,627,827,273,761,2136,4243,75,1544,5030,44904,216,152,3819,5188,1522,3612,2321,773,623,2356,37,2153,0,2967,4837,4718,297,2843,5010
22054,1600000US4740000,183289,25517,187344,"Knoxville city, Tennessee",55496,60,63,4048,4351,3504,6341,2732,619,1701,2632,1296,4152,375,2847,3887,8690,281,3457,2405,62109,217,0,3741,4960,2111,7048,3506,398,2776,2883,1882,4578,53,2538,5580,9658,618,5698,2057
23626,1600000US4748000,637425,27076,652231,"Memphis city, Tennessee",181955,127,276,10789,16249,9803,20278,24448,1101,2302,6889,3806,7954,269,9276,12071,23969,3622,9983,9613,207891,477,0,10930,21688,6353,19526,25205,1796,3350,5721,5037,8517,40,10180,16610,34205,3216,16007,9266
25222,1600000US4751560,94574,30124,136372,"Murfreesboro city, Tennessee",30484,74,68,1597,5329,1219,3384,1307,269,1569,2622,982,1947,0,920,2078,4217,175,876,1320,51558,0,0,2699,7648,1332,4183,3329,0,1600,3367,702,2583,138,2120,3563,8341,783,3611,3200
28233,1600000US4752006,593332,33369,665967,"Nashville-Davidson metropolitan government (balance), Tennessee",212114,358,57,13679,24384,8730,22873,10721,1030,7194,12076,3367,15248,678,8793,13452,32340,3059,11695,12534,273076,577,0,19261,22960,8992,25724,13434,2013,8869,14180,7708,20733,463,12177,20922,44773,7410,20923,10055
20924,1600000US4801000,114855,24993,123304,"Abilene city, Texas",31149,0,788,1892,1167,716,3584,1689,439,764,1770,414,1280,0,1459,3645,5099,212,1587,2902,37606,33,975,2889,2449,1027,4305,1850,626,558,2326,512,805,0,690,3399,6999,185,2114,3959
45225,1600000US4801924,77484,54293,100679,"Allen city, Texas",30143,38,64,1530,2795,988,2910,1600,82,2476,2876,770,5303,116,1127,2068,1599,291,693,1443,37125,0,288,1195,6678,1068,2602,612,367,2672,4604,811,4880,93,1207,2712,2771,0,685,1960
22974,1600000US4803000,190658,30527,200558,"Amarillo city, Texas",63283,272,302,5335,9481,3105,7618,4010,868,770,4556,1225,2182,0,1189,4147,7933,756,4372,2660,73760,800,584,7828,9598,1634,7579,2567,2016,536,3391,512,3612,40,3687,5230,10758,567,5268,3980
29143,1600000US4804000,359365,32291,396407,"Arlington city, Texas",126485,142,607,9919,21819,5155,14048,10456,726,4880,7204,2250,8866,138,4780,7414,9125,1713,5406,4732,141545,0,448,11840,15495,5859,15113,10984,1314,1984,9064,3548,7605,104,8942,11775,15900,1578,7074,4522
28001,1600000US4805000,749659,39883,950714,"Austin city, Texas",275802,200,181,31401,25641,8872,23525,7186,1885,8979,11560,6078,32934,225,11925,22682,20864,6342,21136,22023,410416,1170,2507,32682,35471,8407,31903,13798,2687,15738,17313,14961,62359,920,16289,38866,37686,6803,27403,26886
24495,1600000US4807000,108935,28144,119126,"Beaumont city, Texas",27622,68,148,2643,3172,989,3317,1264,546,354,556,518,1086,0,953,2027,5191,78,1263,2541,38714,0,68,5089,3917,1543,4276,1136,1181,182,1018,414,2092,52,2084,2395,5441,535,2019,3846
16113,1600000US4810768,189773,21850,183292,"Brownsville city, Texas",40916,454,330,3123,4362,1284,5667,1618,308,872,1421,359,1474,0,2014,4783,4128,310,2824,3315,46381,0,214,3327,3395,972,5307,2783,404,402,1142,741,1207,0,1921,8341,7237,109,2284,3891
34691,1600000US4813024,117978,40596,135709,"Carrollton city, Texas",42323,129,206,1776,7087,2398,4467,1945,414,2088,4170,1781,3812,98,2132,1282,3700,332,1567,1257,59116,0,92,4697,5949,3445,6516,2826,273,1259,5355,1073,5872,0,1857,5132,5632,690,5639,1073
23934,1600000US4817000,290010,30697,325600,"Corpus Christi city, Texas",84235,116,2328,7111,7282,3190,9704,4956,562,1139,3634,2629,4431,222,3102,6798,11372,788,4334,6948,111969,214,1584,12348,9804,3515,11251,3499,1185,1151,4219,3262,5146,0,4117,8256,19671,833,7821,8597
25499,1600000US4819000,1240044,31587,1341103,"Dallas city, Texas",421603,221,1778,55525,47351,17289,37816,18827,1899,11630,28536,14879,35523,444,29975,18075,32700,4702,34362,10351,517053,1009,1721,67989,45757,16359,53312,25946,3237,11386,34048,16549,45582,1588,31718,28900,55977,6247,38163,10568
18769,1600000US4819972,110855,25379,136266,"Denton city, Texas",28798,44,107,3598,3166,996,2066,1320,123,922,1080,677,1703,0,1722,3401,3131,503,1503,1627,44466,0,239,2599,3831,1917,4261,2848,266,705,1515,1318,3210,0,2466,7530,4228,939,2481,2524
20683,1600000US4824000,605410,26045,683583,"El Paso city, Texas",150334,412,112,8776,14347,4884,15588,11267,2081,4874,6316,2766,7270,0,6974,16656,16956,1140,7175,16619,206646,230,1932,13204,16498,5079,20014,16384,2709,3279,7772,3954,10002,360,13977,23815,28094,1797,11414,19627
27187,1600000US4827000,650613,35100,876060,"Fort Worth city, Texas",208451,420,1464,21714,32010,8903,21333,16214,1217,5590,12880,3487,9093,421,10251,13033,21789,3214,8289,7891,323172,235,3716,35706,42717,11078,28363,23803,1526,4870,19663,4772,19818,543,12000,25980,36547,2548,17934,15562
49342,1600000US4827684,94595,60738,177281,"Frisco city, Texas",35514,0,249,1811,3879,1647,3888,1015,66,2201,4656,744,4594,40,1581,2389,2789,259,2149,1084,70011,40,1088,1930,5705,2487,5370,2376,162,2800,8238,2642,14703,330,2016,5665,7710,1245,1968,1701
24123,1600000US4829000,230429,30503,237607,"Garland city, Texas",84640,77,209,11042,14637,3000,11041,2857,531,2107,4711,1662,4921,254,3465,4799,6028,692,5316,2870,86062,42,157,9625,10784,3215,7972,2434,285,1543,7185,1596,6261,67,6770,4725,10096,1812,3992,1547
27714,1600000US4830464,165080,35715,193812,"Grand Prairie city, Texas",57799,0,69,6066,7724,3256,6106,5359,440,1731,4354,645,3169,346,3559,2981,3219,377,2845,2464,77184,0,350,6255,12009,2108,8032,8864,589,1700,4369,1760,4026,70,3408,5617,7443,469,3299,3148
25474,1600000US4835000,2046792,31533,2313230,"Houston city, Texas",692756,890,18715,86234,70615,29622,62324,44020,7304,10806,30988,18786,52127,2336,40318,40363,68225,10167,42638,17725,812133,1794,25336,91758,79745,26780,72484,41284,9522,9380,34468,22122,72160,2697,44539,59139,89213,6916,56209,25471
28401,1600000US4837000,198831,35623,240369,"Irving city, Texas",73813,0,309,6934,8950,3272,9240,4631,205,3021,4593,2298,6230,219,3910,2892,5749,525,5697,1471,98849,0,431,8854,7156,4850,8457,7402,756,4021,9847,3620,10717,592,5470,3366,8167,1246,7723,2174
28046,1600000US4839148,101828,27123,145484,"Killeen city, Texas",27513,47,0,2654,940,394,2918,1546,347,1622,1095,340,1257,0,1554,2458,3019,89,1657,3647,42548,0,21,4158,1558,502,3321,1327,0,672,1465,623,2202,0,3197,3962,6568,773,2823,7901
16488,1600000US4841464,219617,25433,261935,"Laredo city, Texas",54086,131,1432,4489,996,3060,6333,8894,156,386,2658,591,1310,0,1735,6394,3587,316,2644,5102,79070,110,2388,4404,2213,3180,8007,15349,131,1081,2960,155,3029,0,3015,10060,8525,252,5958,6180
43580,1600000US4841980,77190,56213,105105,"League City city, Texas",26720,76,426,1454,3528,1318,2929,1194,126,215,1232,1222,3081,0,855,2296,2909,222,858,1666,38163,0,1052,3800,3781,1272,2703,1587,473,192,1816,1123,5906,0,1081,5561,4212,338,962,1515
32318,1600000US4842508,88200,38439,106656,"Lewisville city, Texas",36467,0,139,3073,4706,1966,4222,2172,191,1989,3249,2042,3110,46,795,1074,2450,400,2616,1555,47108,0,122,2710,3752,1744,5582,3350,328,1805,5963,564,4016,253,2164,3097,6651,464,2305,1250
21152,1600000US4845000,218189,24477,253887,"Lubbock city, Texas",67662,256,420,5290,3902,2926,8716,2378,378,3987,2953,1425,2149,150,3138,9048,7971,447,4594,4143,86009,1199,1937,4729,5491,2440,9875,3394,720,962,3880,2266,3435,53,2614,11024,14890,772,6886,4080
22857,1600000US4845384,123221,22742,142699,"McAllen city, Texas",31447,49,249,1819,1806,800,5821,1238,292,223,2123,292,1222,0,1619,2931,4729,240,2402,1449,43560,691,269,2511,1951,2495,5894,1815,175,693,1277,1071,1382,0,2345,5688,6097,1453,2712,2110
40260,1600000US4845744,117577,46308,181330,"McKinney city, Texas",39374,366,423,2256,5080,1105,5319,1424,0,2564,4621,1580,4159,222,1308,2465,3102,684,937,1375,68948,380,661,4912,5892,2980,6304,1817,148,2894,6067,1877,8991,219,3715,4426,7939,1775,2559,2590
34325,1600000US4847892,126081,31363,143822,"Mesquite city, Texas",45320,242,507,6061,3268,2454,4690,2953,170,1735,3672,901,2241,59,936,4046,5102,457,2312,1659,47422,0,69,6388,4725,1503,3637,2938,210,1791,2338,1330,2273,0,2264,4966,5656,225,3785,1711
26650,1600000US4848072,105582,46041,136090,"Midland city, Texas",31353,146,5879,2458,2127,1759,2907,1385,196,584,1153,882,1854,0,311,2151,2513,249,1307,1460,49845,259,10330,3735,2214,2573,3344,2848,526,663,877,701,3602,222,2151,4052,5007,408,1947,1980
26217,1600000US4853388,94457,34504,117105,"Odessa city, Texas",29075,0,3668,2992,3541,1524,2297,1294,711,463,1761,381,860,0,727,1713,2727,53,1242,1513,43576,149,7578,3839,2919,1900,4662,2210,615,527,1233,914,779,0,1368,3966,5970,394,1304,1344
27075,1600000US4856000,153925,27180,153533,"Pasadena city, Texas",48027,0,423,7287,9545,2725,5092,2814,491,850,1935,938,1811,74,2045,2734,2882,594,2247,829,46450,52,493,10559,6677,1139,4492,2947,341,340,1544,797,2641,37,1473,2346,3528,41,3218,640
47240,1600000US4856348,80843,54439,125198,"Pearland city, Texas",30332,0,1227,1521,3946,1094,2302,1945,460,1089,1789,574,2964,0,542,2129,4908,217,1287,1812,52136,304,1868,4109,6533,1756,2687,1076,885,1069,3804,931,4875,0,793,5800,9396,82,553,3556
41737,1600000US4858016,263663,50628,285312,"Plano city, Texas",101050,0,765,6699,12602,5459,9770,2508,592,7593,9981,2051,14534,274,3440,5388,7972,1167,5320,2115,123846,87,364,6570,10438,4683,13300,4164,1009,4820,12347,3157,18953,494,6076,10269,11213,1411,7765,2503
37643,1600000US4861796,100129,40847,116783,"Richardson city, Texas",36902,0,131,2464,4208,1302,2112,843,65,1850,5187,776,4378,169,721,2853,3301,56,4332,818,41038,0,174,2385,3001,662,4579,1601,254,897,2940,1050,7054,49,1581,4456,4136,315,2547,1278
30694,1600000US4863500,90955,36943,123560,"Round Rock city, Texas",33504,0,266,2175,7088,751,3139,967,535,935,2123,424,3048,121,808,1741,3045,406,2741,1870,47409,90,0,3628,7756,1870,4118,800,303,1170,2128,1819,4697,0,2937,4690,3104,509,2841,3043
23872,1600000US4865000,1284332,29668,1511913,"San Antonio city, Texas",382421,762,1435,33887,28372,12772,45309,14584,4242,11952,34889,8897,20799,842,18050,27918,47495,4006,24488,24662,513571,1468,2652,48755,31306,15637,54249,24080,2860,9675,42022,10133,35245,813,26385,47146,70777,5800,38569,26322
47639,1600000US4872656,62134,53127,115097,"The Woodlands CDP, Texas",18923,0,1753,1105,2309,1573,1462,1444,226,380,590,162,2419,240,397,1461,1534,384,196,898,39582,56,2796,2548,3777,1527,1691,2620,1015,795,2425,525,5543,312,839,4068,6240,448,575,798
20745,1600000US4874144,91403,26763,104998,"Tyler city, Texas",24550,338,291,1586,3144,429,2012,991,207,1101,969,540,1556,64,758,2528,4930,387,1516,606,34690,73,487,2292,2908,744,4513,1358,0,1573,712,264,1563,0,1703,1597,9668,381,1923,1420
18838,1600000US4876000,114536,22257,136437,"Waco city, Texas",29826,153,71,1478,5395,1335,3496,1627,313,758,1190,813,706,0,1301,2426,4760,606,1209,1108,39970,85,115,3540,5643,920,3191,1179,409,345,1097,940,1803,37,1961,5024,6087,339,3697,1901
21798,1600000US4879000,99747,26512,104745,"Wichita Falls city, Texas",25660,47,544,1406,3479,944,2724,948,90,593,609,401,1033,0,408,1449,4549,280,1392,3535,30242,0,803,1944,3851,281,2842,1478,689,460,1110,351,587,0,958,2443,5991,338,1575,2739
10755,1600000US4962470,118730,15429,117331,"Provo city, Utah",22185,75,50,2863,2692,185,3070,277,102,631,1020,536,1791,0,418,3148,2508,253,1093,943,28090,83,0,3349,2966,1117,3047,292,82,762,1160,579,2486,0,1679,3827,3043,725,1180,693
24717,1600000US4967000,188997,31105,200538,"Salt Lake City city, Utah",62297,112,62,6777,7352,1625,6079,2952,332,1882,3572,905,5531,124,4032,5234,6749,696,3832,2143,76187,185,562,3647,8073,1967,5913,2301,150,1579,5509,2165,8054,79,3316,8156,10276,787,5491,4220
30554,1600000US4982950,100245,32266,113921,"West Jordan city, Utah",32048,42,637,3310,4526,2304,3543,2232,266,583,2722,705,2375,176,1630,1114,1791,123,695,1662,42309,445,297,3552,7103,1140,4122,3331,624,516,3490,557,3363,255,1676,2589,4485,104,1006,1476
23703,1600000US4983470,124193,30624,136166,"West Valley City city, Utah",41443,139,170,4881,7297,2636,4174,2727,294,1142,2067,847,1336,0,2503,1239,3288,440,1907,2813,51499,44,430,5421,8086,1505,4823,3943,86,1975,3483,717,3342,423,4284,1614,3287,671,3243,2003
50602,1600000US5101000,140024,54026,160035,"Alexandria city, Virginia",61447,235,636,1357,1141,692,3562,1814,132,2817,2199,1266,13661,0,3666,2765,5073,741,3246,11266,75557,0,0,3694,2064,682,3241,2139,290,2579,2481,2014,16240,91,2203,5106,5688,1259,4388,14391
54712,1600000US5103000,204568,69451,234965,"Arlington CDP, Virginia",96637,121,0,5789,821,850,2389,2140,137,3861,4366,2151,25652,369,2136,4861,4267,711,7439,20608,112953,0,0,4506,2806,817,4160,2162,266,3664,4664,1968,34807,286,2986,8144,6134,1528,5024,21512
32047,1600000US5116000,219154,40292,240397,"Chesapeake city, Virginia",73179,317,0,7125,7264,2130,7050,4189,310,2701,3277,1778,5998,0,4025,3903,7803,192,1688,10022,80755,148,66,5860,8205,844,7932,3741,446,1447,4042,1799,6845,0,4525,5938,12257,1109,2181,10723
28713,1600000US5135000,146439,29576,134669,"Hampton city, Virginia",46312,0,113,4532,6742,908,5103,1572,188,894,866,900,2705,91,2953,3029,4671,0,1712,7730,43323,0,0,2444,6381,673,2645,2156,390,360,1867,1052,2642,0,2302,5500,5061,363,1759,5470
26953,1600000US5156000,179153,31163,179388,"Newport News city, Virginia",51442,76,43,3588,7292,1956,5333,1153,649,829,1567,1048,2594,0,2953,3975,6371,453,2575,6384,58016,382,0,3730,9289,1689,4892,2106,352,712,1080,1006,4177,39,2252,4097,8789,1253,2654,7048
26113,1600000US5157000,235747,26247,244703,"Norfolk city, Virginia",61639,0,0,5450,4300,1964,8271,2787,182,1752,2981,2185,3940,0,2562,4053,7070,529,2618,8160,70401,0,0,6024,4337,1235,6276,3467,312,1225,3297,1694,6534,51,3609,5922,10400,936,4656,7597
24999,1600000US5167000,200123,28264,227032,"Richmond city, Virginia",57138,168,70,4438,4316,1658,5755,3385,488,1786,5473,1187,4313,0,1084,3897,8993,596,3104,3903,74769,22,0,2900,4475,1311,6533,2878,1072,2169,6365,2125,8963,92,5013,7049,8899,994,5894,4943
31814,1600000US5182000,434743,36753,450435,"Virginia Beach city, Virginia",142367,650,69,11274,10839,3329,14637,5673,1005,5295,8941,3872,12474,330,4350,9101,19867,1786,6221,17608,162968,226,0,10374,9147,4721,15944,5094,1009,2778,12489,5349,17193,200,5368,12790,22751,1603,8805,21406
43485,1600000US5305210,120246,73092,144459,"Bellevue city, Washington",37042,100,0,1052,5712,1873,3093,1043,353,2982,2489,1784,6532,76,1738,2052,3053,277,640,1271,56058,412,0,802,4911,1795,6172,1550,79,3189,2046,1252,18787,46,1800,2796,3866,1223,1829,1303
27549,1600000US5322640,103729,33500,110086,"Everett city, Washington",30713,0,0,3554,7587,851,3469,1312,164,708,1826,353,1864,0,1102,714,2783,511,1380,1306,38882,288,87,3892,8725,574,4280,1531,223,357,1220,1008,2800,0,2572,1016,4283,493,2170,1738
29521,1600000US5335415,94295,35437,128463,"Kent city, Washington",30314,0,0,2491,5870,1489,5053,1539,297,1258,1182,807,771,0,2282,533,2278,697,2079,771,44914,101,0,3795,5739,2315,5378,4141,391,634,1506,1555,2865,207,1416,1610,6543,473,3558,1500
36212,1600000US5363000,577231,51851,724764,"Seattle city, Washington",202470,546,67,8920,18084,6615,19572,6742,1921,10472,11799,6071,29572,842,6873,15439,24723,4137,14397,9702,302615,488,0,10689,25451,7923,37259,8204,1745,12806,11811,7141,62899,1549,6917,23636,37669,5125,16300,12628
22813,1600000US5367000,210447,30417,217096,"Spokane city, Washington",54533,126,37,3337,5991,1908,5824,1831,302,2080,4080,1364,4099,0,1422,2832,10134,1758,1997,3497,69311,354,653,3705,7206,2233,7600,2937,607,1212,3440,1577,4122,0,2428,5275,12818,1547,4093,4481
30044,1600000US5370000,190817,35783,213426,"Tacoma city, Washington",57940,433,47,5295,6930,1909,6777,3283,602,930,2461,1433,2951,19,3716,2920,8121,1577,2183,3784,69043,244,0,5685,7960,1927,7071,3458,259,989,2317,1496,3936,174,3224,4904,11391,1898,3307,5645
29696,1600000US5374060,156253,34927,175661,"Vancouver city, Washington",46332,76,0,2898,8306,3738,4383,3589,794,969,2161,1469,2826,105,1701,1108,4523,364,2414,2585,55883,43,134,3217,7045,2036,5191,3789,278,1525,2712,2326,3988,195,2359,3837,8138,743,3304,2659
25474,1600000US5531000,100503,29731,105114,"Green Bay city, Wisconsin",32524,0,0,1472,6778,1648,3970,1819,680,703,2219,1042,1300,56,820,1346,4569,564,1631,1181,36295,710,0,2152,8702,1827,3406,1587,227,517,2368,377,1714,0,1278,1366,4533,1022,1900,1250
26475,1600000US5548000,222725,32303,255239,"Madison city, Wisconsin",68627,190,0,2263,9561,1882,5098,2195,772,3585,5564,1074,5027,48,1817,9674,8314,896,2569,5997,93305,638,0,4034,9157,757,6130,1951,644,3519,5803,1850,14492,0,2614,14244,12800,756,4188,6229
23928,1600000US5553000,582207,27798,595365,"Milwaukee city, Wisconsin",166737,394,46,7684,36011,5591,15844,7736,862,3858,11554,1326,7694,214,6877,9395,25644,2319,9340,7797,189499,829,97,9023,31869,5421,15367,9021,1448,3277,9902,2860,10131,238,11498,15255,29273,2916,15096,8865
