GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Median earnings (dollars); Estimate; Civilian employed population 16 years and over with earnings
HC01_MOE_VC01,Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over with earnings
HC02_EST_VC01,Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over with earnings
HC02_MOE_VC01,Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over with earnings
HC03_EST_VC01,Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over with earnings
HC03_MOE_VC01,Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over with earnings
HC04_EST_VC01,Women's earnings as a percentage of men's earning; Estimate; Civilian employed population 16 years and over with earnings
HC04_MOE_VC01,Women's earnings as a percentage of men's earning; Margin of Error; Civilian employed population 16 years and over with earnings
HC01_EST_VC02,"Median earnings (dollars); Estimate; Agriculture, forestry, fishing and hunting, and mining:"
HC01_MOE_VC02,"Median earnings (dollars); Margin of Error; Agriculture, forestry, fishing and hunting, and mining:"
HC02_EST_VC02,"Median earnings (dollars) for male; Estimate; Agriculture, forestry, fishing and hunting, and mining:"
HC02_MOE_VC02,"Median earnings (dollars) for male; Margin of Error; Agriculture, forestry, fishing and hunting, and mining:"
HC03_EST_VC02,"Median earnings (dollars) for female; Estimate; Agriculture, forestry, fishing and hunting, and mining:"
HC03_MOE_VC02,"Median earnings (dollars) for female; Margin of Error; Agriculture, forestry, fishing and hunting, and mining:"
HC04_EST_VC02,"Women's earnings as a percentage of men's earning; Estimate; Agriculture, forestry, fishing and hunting, and mining:"
HC04_MOE_VC02,"Women's earnings as a percentage of men's earning; Margin of Error; Agriculture, forestry, fishing and hunting, and mining:"
HC01_EST_VC03,"Median earnings (dollars); Estimate; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC01_MOE_VC03,"Median earnings (dollars); Margin of Error; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC02_EST_VC03,"Median earnings (dollars) for male; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC02_MOE_VC03,"Median earnings (dollars) for male; Margin of Error; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC03_EST_VC03,"Median earnings (dollars) for female; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC03_MOE_VC03,"Median earnings (dollars) for female; Margin of Error; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC04_EST_VC03,"Women's earnings as a percentage of men's earning; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC04_MOE_VC03,"Women's earnings as a percentage of men's earning; Margin of Error; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HC01_EST_VC04,"Median earnings (dollars); Estimate; Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HC01_MOE_VC04,"Median earnings (dollars); Margin of Error; Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HC02_EST_VC04,"Median earnings (dollars) for male; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HC02_MOE_VC04,"Median earnings (dollars) for male; Margin of Error; Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HC03_EST_VC04,"Median earnings (dollars) for female; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HC03_MOE_VC04,"Median earnings (dollars) for female; Margin of Error; Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HC04_EST_VC04,"Women's earnings as a percentage of men's earning; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HC04_MOE_VC04,"Women's earnings as a percentage of men's earning; Margin of Error; Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HC01_EST_VC05,Median earnings (dollars); Estimate; Construction
HC01_MOE_VC05,Median earnings (dollars); Margin of Error; Construction
HC02_EST_VC05,Median earnings (dollars) for male; Estimate; Construction
HC02_MOE_VC05,Median earnings (dollars) for male; Margin of Error; Construction
HC03_EST_VC05,Median earnings (dollars) for female; Estimate; Construction
HC03_MOE_VC05,Median earnings (dollars) for female; Margin of Error; Construction
HC04_EST_VC05,Women's earnings as a percentage of men's earning; Estimate; Construction
HC04_MOE_VC05,Women's earnings as a percentage of men's earning; Margin of Error; Construction
HC01_EST_VC06,Median earnings (dollars); Estimate; Manufacturing
HC01_MOE_VC06,Median earnings (dollars); Margin of Error; Manufacturing
HC02_EST_VC06,Median earnings (dollars) for male; Estimate; Manufacturing
HC02_MOE_VC06,Median earnings (dollars) for male; Margin of Error; Manufacturing
HC03_EST_VC06,Median earnings (dollars) for female; Estimate; Manufacturing
HC03_MOE_VC06,Median earnings (dollars) for female; Margin of Error; Manufacturing
HC04_EST_VC06,Women's earnings as a percentage of men's earning; Estimate; Manufacturing
HC04_MOE_VC06,Women's earnings as a percentage of men's earning; Margin of Error; Manufacturing
HC01_EST_VC07,Median earnings (dollars); Estimate; Wholesale trade
HC01_MOE_VC07,Median earnings (dollars); Margin of Error; Wholesale trade
HC02_EST_VC07,Median earnings (dollars) for male; Estimate; Wholesale trade
HC02_MOE_VC07,Median earnings (dollars) for male; Margin of Error; Wholesale trade
HC03_EST_VC07,Median earnings (dollars) for female; Estimate; Wholesale trade
HC03_MOE_VC07,Median earnings (dollars) for female; Margin of Error; Wholesale trade
HC04_EST_VC07,Women's earnings as a percentage of men's earning; Estimate; Wholesale trade
HC04_MOE_VC07,Women's earnings as a percentage of men's earning; Margin of Error; Wholesale trade
HC01_EST_VC08,Median earnings (dollars); Estimate; Retail trade
HC01_MOE_VC08,Median earnings (dollars); Margin of Error; Retail trade
HC02_EST_VC08,Median earnings (dollars) for male; Estimate; Retail trade
HC02_MOE_VC08,Median earnings (dollars) for male; Margin of Error; Retail trade
HC03_EST_VC08,Median earnings (dollars) for female; Estimate; Retail trade
HC03_MOE_VC08,Median earnings (dollars) for female; Margin of Error; Retail trade
HC04_EST_VC08,Women's earnings as a percentage of men's earning; Estimate; Retail trade
HC04_MOE_VC08,Women's earnings as a percentage of men's earning; Margin of Error; Retail trade
HC01_EST_VC09,"Median earnings (dollars); Estimate; Transportation and warehousing, and utilities:"
HC01_MOE_VC09,"Median earnings (dollars); Margin of Error; Transportation and warehousing, and utilities:"
HC02_EST_VC09,"Median earnings (dollars) for male; Estimate; Transportation and warehousing, and utilities:"
HC02_MOE_VC09,"Median earnings (dollars) for male; Margin of Error; Transportation and warehousing, and utilities:"
HC03_EST_VC09,"Median earnings (dollars) for female; Estimate; Transportation and warehousing, and utilities:"
HC03_MOE_VC09,"Median earnings (dollars) for female; Margin of Error; Transportation and warehousing, and utilities:"
HC04_EST_VC09,"Women's earnings as a percentage of men's earning; Estimate; Transportation and warehousing, and utilities:"
HC04_MOE_VC09,"Women's earnings as a percentage of men's earning; Margin of Error; Transportation and warehousing, and utilities:"
HC01_EST_VC10,"Median earnings (dollars); Estimate; Transportation and warehousing, and utilities: - Transportation and warehousing"
HC01_MOE_VC10,"Median earnings (dollars); Margin of Error; Transportation and warehousing, and utilities: - Transportation and warehousing"
HC02_EST_VC10,"Median earnings (dollars) for male; Estimate; Transportation and warehousing, and utilities: - Transportation and warehousing"
HC02_MOE_VC10,"Median earnings (dollars) for male; Margin of Error; Transportation and warehousing, and utilities: - Transportation and warehousing"
HC03_EST_VC10,"Median earnings (dollars) for female; Estimate; Transportation and warehousing, and utilities: - Transportation and warehousing"
HC03_MOE_VC10,"Median earnings (dollars) for female; Margin of Error; Transportation and warehousing, and utilities: - Transportation and warehousing"
HC04_EST_VC10,"Women's earnings as a percentage of men's earning; Estimate; Transportation and warehousing, and utilities: - Transportation and warehousing"
HC04_MOE_VC10,"Women's earnings as a percentage of men's earning; Margin of Error; Transportation and warehousing, and utilities: - Transportation and warehousing"
HC01_EST_VC11,"Median earnings (dollars); Estimate; Transportation and warehousing, and utilities: - Utilities"
HC01_MOE_VC11,"Median earnings (dollars); Margin of Error; Transportation and warehousing, and utilities: - Utilities"
HC02_EST_VC11,"Median earnings (dollars) for male; Estimate; Transportation and warehousing, and utilities: - Utilities"
HC02_MOE_VC11,"Median earnings (dollars) for male; Margin of Error; Transportation and warehousing, and utilities: - Utilities"
HC03_EST_VC11,"Median earnings (dollars) for female; Estimate; Transportation and warehousing, and utilities: - Utilities"
HC03_MOE_VC11,"Median earnings (dollars) for female; Margin of Error; Transportation and warehousing, and utilities: - Utilities"
HC04_EST_VC11,"Women's earnings as a percentage of men's earning; Estimate; Transportation and warehousing, and utilities: - Utilities"
HC04_MOE_VC11,"Women's earnings as a percentage of men's earning; Margin of Error; Transportation and warehousing, and utilities: - Utilities"
HC01_EST_VC12,Median earnings (dollars); Estimate; Information
HC01_MOE_VC12,Median earnings (dollars); Margin of Error; Information
HC02_EST_VC12,Median earnings (dollars) for male; Estimate; Information
HC02_MOE_VC12,Median earnings (dollars) for male; Margin of Error; Information
HC03_EST_VC12,Median earnings (dollars) for female; Estimate; Information
HC03_MOE_VC12,Median earnings (dollars) for female; Margin of Error; Information
HC04_EST_VC12,Women's earnings as a percentage of men's earning; Estimate; Information
HC04_MOE_VC12,Women's earnings as a percentage of men's earning; Margin of Error; Information
HC01_EST_VC13,"Median earnings (dollars); Estimate; Finance and insurance, and real estate and rental and leasing:"
HC01_MOE_VC13,"Median earnings (dollars); Margin of Error; Finance and insurance, and real estate and rental and leasing:"
HC02_EST_VC13,"Median earnings (dollars) for male; Estimate; Finance and insurance, and real estate and rental and leasing:"
HC02_MOE_VC13,"Median earnings (dollars) for male; Margin of Error; Finance and insurance, and real estate and rental and leasing:"
HC03_EST_VC13,"Median earnings (dollars) for female; Estimate; Finance and insurance, and real estate and rental and leasing:"
HC03_MOE_VC13,"Median earnings (dollars) for female; Margin of Error; Finance and insurance, and real estate and rental and leasing:"
HC04_EST_VC13,"Women's earnings as a percentage of men's earning; Estimate; Finance and insurance, and real estate and rental and leasing:"
HC04_MOE_VC13,"Women's earnings as a percentage of men's earning; Margin of Error; Finance and insurance, and real estate and rental and leasing:"
HC01_EST_VC14,"Median earnings (dollars); Estimate; Finance and insurance, and real estate and rental and leasing: - Finance and insurance"
HC01_MOE_VC14,"Median earnings (dollars); Margin of Error; Finance and insurance, and real estate and rental and leasing: - Finance and insurance"
HC02_EST_VC14,"Median earnings (dollars) for male; Estimate; Finance and insurance, and real estate and rental and leasing: - Finance and insurance"
HC02_MOE_VC14,"Median earnings (dollars) for male; Margin of Error; Finance and insurance, and real estate and rental and leasing: - Finance and insurance"
HC03_EST_VC14,"Median earnings (dollars) for female; Estimate; Finance and insurance, and real estate and rental and leasing: - Finance and insurance"
HC03_MOE_VC14,"Median earnings (dollars) for female; Margin of Error; Finance and insurance, and real estate and rental and leasing: - Finance and insurance"
HC04_EST_VC14,"Women's earnings as a percentage of men's earning; Estimate; Finance and insurance, and real estate and rental and leasing: - Finance and insurance"
HC04_MOE_VC14,"Women's earnings as a percentage of men's earning; Margin of Error; Finance and insurance, and real estate and rental and leasing: - Finance and insurance"
HC01_EST_VC15,"Median earnings (dollars); Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC01_MOE_VC15,"Median earnings (dollars); Margin of Error; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC02_EST_VC15,"Median earnings (dollars) for male; Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC02_MOE_VC15,"Median earnings (dollars) for male; Margin of Error; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC03_EST_VC15,"Median earnings (dollars) for female; Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC03_MOE_VC15,"Median earnings (dollars) for female; Margin of Error; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC04_EST_VC15,"Women's earnings as a percentage of men's earning; Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC04_MOE_VC15,"Women's earnings as a percentage of men's earning; Margin of Error; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC01_EST_VC16,"Median earnings (dollars); Estimate; Professional, scientific, and management, and administrative and waste management services:"
HC01_MOE_VC16,"Median earnings (dollars); Margin of Error; Professional, scientific, and management, and administrative and waste management services:"
HC02_EST_VC16,"Median earnings (dollars) for male; Estimate; Professional, scientific, and management, and administrative and waste management services:"
HC02_MOE_VC16,"Median earnings (dollars) for male; Margin of Error; Professional, scientific, and management, and administrative and waste management services:"
HC03_EST_VC16,"Median earnings (dollars) for female; Estimate; Professional, scientific, and management, and administrative and waste management services:"
HC03_MOE_VC16,"Median earnings (dollars) for female; Margin of Error; Professional, scientific, and management, and administrative and waste management services:"
HC04_EST_VC16,"Women's earnings as a percentage of men's earning; Estimate; Professional, scientific, and management, and administrative and waste management services:"
HC04_MOE_VC16,"Women's earnings as a percentage of men's earning; Margin of Error; Professional, scientific, and management, and administrative and waste management services:"
HC01_EST_VC17,"Median earnings (dollars); Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC01_MOE_VC17,"Median earnings (dollars); Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC02_EST_VC17,"Median earnings (dollars) for male; Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC02_MOE_VC17,"Median earnings (dollars) for male; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC03_EST_VC17,"Median earnings (dollars) for female; Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC03_MOE_VC17,"Median earnings (dollars) for female; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC04_EST_VC17,"Women's earnings as a percentage of men's earning; Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC04_MOE_VC17,"Women's earnings as a percentage of men's earning; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC01_EST_VC18,"Median earnings (dollars); Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC01_MOE_VC18,"Median earnings (dollars); Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC02_EST_VC18,"Median earnings (dollars) for male; Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC02_MOE_VC18,"Median earnings (dollars) for male; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC03_EST_VC18,"Median earnings (dollars) for female; Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC03_MOE_VC18,"Median earnings (dollars) for female; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC04_EST_VC18,"Women's earnings as a percentage of men's earning; Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC04_MOE_VC18,"Women's earnings as a percentage of men's earning; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC01_EST_VC19,"Median earnings (dollars); Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC01_MOE_VC19,"Median earnings (dollars); Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC02_EST_VC19,"Median earnings (dollars) for male; Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC02_MOE_VC19,"Median earnings (dollars) for male; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC03_EST_VC19,"Median earnings (dollars) for female; Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC03_MOE_VC19,"Median earnings (dollars) for female; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC04_EST_VC19,"Women's earnings as a percentage of men's earning; Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC04_MOE_VC19,"Women's earnings as a percentage of men's earning; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC01_EST_VC20,"Median earnings (dollars); Estimate; Educational services, and health care and social assistance:"
HC01_MOE_VC20,"Median earnings (dollars); Margin of Error; Educational services, and health care and social assistance:"
HC02_EST_VC20,"Median earnings (dollars) for male; Estimate; Educational services, and health care and social assistance:"
HC02_MOE_VC20,"Median earnings (dollars) for male; Margin of Error; Educational services, and health care and social assistance:"
HC03_EST_VC20,"Median earnings (dollars) for female; Estimate; Educational services, and health care and social assistance:"
HC03_MOE_VC20,"Median earnings (dollars) for female; Margin of Error; Educational services, and health care and social assistance:"
HC04_EST_VC20,"Women's earnings as a percentage of men's earning; Estimate; Educational services, and health care and social assistance:"
HC04_MOE_VC20,"Women's earnings as a percentage of men's earning; Margin of Error; Educational services, and health care and social assistance:"
HC01_EST_VC21,"Median earnings (dollars); Estimate; Educational services, and health care and social assistance: - Educational services"
HC01_MOE_VC21,"Median earnings (dollars); Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC02_EST_VC21,"Median earnings (dollars) for male; Estimate; Educational services, and health care and social assistance: - Educational services"
HC02_MOE_VC21,"Median earnings (dollars) for male; Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC03_EST_VC21,"Median earnings (dollars) for female; Estimate; Educational services, and health care and social assistance: - Educational services"
HC03_MOE_VC21,"Median earnings (dollars) for female; Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC04_EST_VC21,"Women's earnings as a percentage of men's earning; Estimate; Educational services, and health care and social assistance: - Educational services"
HC04_MOE_VC21,"Women's earnings as a percentage of men's earning; Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC01_EST_VC22,"Median earnings (dollars); Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC01_MOE_VC22,"Median earnings (dollars); Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC02_EST_VC22,"Median earnings (dollars) for male; Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC02_MOE_VC22,"Median earnings (dollars) for male; Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC03_EST_VC22,"Median earnings (dollars) for female; Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC03_MOE_VC22,"Median earnings (dollars) for female; Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC04_EST_VC22,"Women's earnings as a percentage of men's earning; Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC04_MOE_VC22,"Women's earnings as a percentage of men's earning; Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC01_EST_VC23,"Median earnings (dollars); Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC01_MOE_VC23,"Median earnings (dollars); Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC02_EST_VC23,"Median earnings (dollars) for male; Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC02_MOE_VC23,"Median earnings (dollars) for male; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC03_EST_VC23,"Median earnings (dollars) for female; Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC03_MOE_VC23,"Median earnings (dollars) for female; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC04_EST_VC23,"Women's earnings as a percentage of men's earning; Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC04_MOE_VC23,"Women's earnings as a percentage of men's earning; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC01_EST_VC24,"Median earnings (dollars); Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC01_MOE_VC24,"Median earnings (dollars); Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC02_EST_VC24,"Median earnings (dollars) for male; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC02_MOE_VC24,"Median earnings (dollars) for male; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC03_EST_VC24,"Median earnings (dollars) for female; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC03_MOE_VC24,"Median earnings (dollars) for female; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC04_EST_VC24,"Women's earnings as a percentage of men's earning; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC04_MOE_VC24,"Women's earnings as a percentage of men's earning; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC01_EST_VC25,"Median earnings (dollars); Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC01_MOE_VC25,"Median earnings (dollars); Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC02_EST_VC25,"Median earnings (dollars) for male; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC02_MOE_VC25,"Median earnings (dollars) for male; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC03_EST_VC25,"Median earnings (dollars) for female; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC03_MOE_VC25,"Median earnings (dollars) for female; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC04_EST_VC25,"Women's earnings as a percentage of men's earning; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC04_MOE_VC25,"Women's earnings as a percentage of men's earning; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HC01_EST_VC26,"Median earnings (dollars); Estimate; Other services, except public administration"
HC01_MOE_VC26,"Median earnings (dollars); Margin of Error; Other services, except public administration"
HC02_EST_VC26,"Median earnings (dollars) for male; Estimate; Other services, except public administration"
HC02_MOE_VC26,"Median earnings (dollars) for male; Margin of Error; Other services, except public administration"
HC03_EST_VC26,"Median earnings (dollars) for female; Estimate; Other services, except public administration"
HC03_MOE_VC26,"Median earnings (dollars) for female; Margin of Error; Other services, except public administration"
HC04_EST_VC26,"Women's earnings as a percentage of men's earning; Estimate; Other services, except public administration"
HC04_MOE_VC26,"Women's earnings as a percentage of men's earning; Margin of Error; Other services, except public administration"
HC01_EST_VC27,Median earnings (dollars); Estimate; Public administration
HC01_MOE_VC27,Median earnings (dollars); Margin of Error; Public administration
HC02_EST_VC27,Median earnings (dollars) for male; Estimate; Public administration
HC02_MOE_VC27,Median earnings (dollars) for male; Margin of Error; Public administration
HC03_EST_VC27,Median earnings (dollars) for female; Estimate; Public administration
HC03_MOE_VC27,Median earnings (dollars) for female; Margin of Error; Public administration
HC04_EST_VC27,Women's earnings as a percentage of men's earning; Estimate; Public administration
HC04_MOE_VC27,Women's earnings as a percentage of men's earning; Margin of Error; Public administration
