,Median earnings 2017,Population 2017
0,24560,212744
1,30831,67526
2,44915,84937
3,31058,195369
4,30484,190273
5,25504,199525
6,21638,100296
7,41094,294356
8,31351,84034
9,31361,68431
10,35712,73668
11,42670,253448
12,21168,71975
13,43531,242362
14,29755,246708
15,39099,79850
16,30910,496395
17,39324,168174
18,31917,1626085
19,34186,92851
20,50851,249947
21,36025,134079
22,30516,185025
23,24586,535676
24,29843,95494
25,26920,65790
26,27273,85258
27,26758,88028
28,27551,75867
29,35867,198594
30,26580,65920
31,31865,66432
32,29876,82397
33,51315,79188
34,36288,85391
35,30477,352456
36,34068,111683
37,30203,73071
38,31720,100573
39,31808,380887
40,26282,76392
41,30841,77772
42,31870,122334
43,29100,83026
44,40992,104823
45,50367,67849
46,60638,115326
47,35668,65959
48,30145,92736
49,51909,62103
50,26027,93297
51,31606,89798
52,47052,80400
53,37056,270450
54,35631,87924
55,39468,109700
56,28758,97626
57,41782,129778
58,35305,167843
59,36778,113821
60,36991,107091
61,21834,68985
62,35325,113089
63,26035,125542
64,29339,103906
65,39542,171831
66,21645,116110
67,31056,151979
68,39616,116280
69,23218,68095
70,65789,78038
71,30588,211820
72,66636,234954
73,26591,527422
74,31949,140402
75,30831,174228
76,36561,203066
77,30713,87863
78,41095,160485
79,25363,85153
80,31179,94867
81,43874,201882
82,31429,89784
83,29544,110611
84,57465,277436
85,28390,106032
86,58800,66346
87,24277,66412
88,47475,84308
89,41893,80971
90,35793,160323
91,61326,90290
92,31755,65891
93,34788,469459
94,31191,3999742
95,27763,71115
96,19051,65506
97,39072,79275
98,36572,90599
99,25326,83100
100,54058,78108
101,50433,96009
102,31083,214220
103,27470,207211
104,80861,81443
105,32291,113316
106,39115,79782
107,65049,86151
108,35030,106086
109,40234,425204
110,32425,176208
111,30220,175850
112,36534,140557
113,29096,210038
114,29586,157507
115,95073,67170
116,40341,142632
117,27289,77895
118,30863,72157
119,76317,83007
120,25215,152946
121,32449,73554
122,40547,177446
123,30840,91788
124,40379,71562
125,56767,67908
126,52120,86683
127,26865,103555
128,33981,110037
129,27207,327722
130,45997,135325
131,35064,501890
132,25922,157594
133,25198,216983
134,35688,110784
135,48880,65269
136,38044,1419488
137,60093,884363
138,45345,1035353
139,41884,90555
140,34583,96188
141,63223,104733
142,90195,75922
143,26043,334135
144,41297,92099
145,56049,127131
146,42273,210886
147,28145,65028
148,25116,107018
149,57705,92298
150,36108,175269
151,42782,126875
152,22806,95422
153,40670,67430
154,28693,310476
155,67670,153656
156,41052,114318
157,50174,128972
158,47588,146745
159,42909,90886
160,29678,73562
161,41331,80502
162,49170,75344
163,35554,76985
164,38168,100023
165,35628,122086
166,26805,122465
167,34574,133009
168,30692,101557
169,71874,69792
170,36833,107623
171,30231,91548
172,38516,86841
173,63699,68234
174,30668,66872
175,42388,118300
176,33952,367250
177,25946,107128
178,47996,68341
179,51055,110277
180,32433,464470
181,41316,704621
182,26413,165089
183,30755,105457
184,53774,107216
185,36986,154952
186,37314,94145
187,37380,76702
188,24074,111121
189,37137,136992
190,36292,112814
191,25813,146582
192,32471,85243
193,25003,123420
194,33670,72718
195,26890,131005
196,37710,89000
197,45189,130835
198,30076,108642
199,35376,71104
200,54604,693972
201,34916,88496
202,45960,98153
203,30751,77704
204,32593,121190
205,30825,183356
206,29887,115501
207,36149,133058
208,34801,105146
209,25189,68055
210,26672,80572
211,34502,68749
212,31756,90743
213,31082,180071
214,27191,79941
215,19985,132253
216,22756,239682
217,30887,153625
218,22084,69909
219,31470,892064
220,41522,73805
221,23251,71103
222,31338,108051
223,30752,84768
224,25144,71976
225,25368,132618
226,29419,82003
227,26794,463354
228,35067,92319
229,26299,113743
230,37561,140323
231,26582,66293
232,27568,280258
233,26263,111660
234,24955,88394
235,40596,170703
236,20643,76847
237,40084,93922
238,23981,71694
239,27575,110464
240,28415,65972
241,29254,189331
242,36645,90538
243,32490,263252
244,27643,113508
245,36965,94313
246,23215,191039
247,30320,65683
248,31003,385423
249,31360,68457
250,30910,79620
251,34147,89143
252,44647,70927
253,27536,110219
254,24417,71593
255,63466,65774
256,21310,125929
257,37612,486299
258,23165,195678
259,26703,194058
260,52381,84359
261,26766,152646
262,43755,94792
263,46505,106742
264,25793,146449
265,30663,75675
266,38070,350388
267,30367,226567
268,38534,99938
269,21934,93585
270,52404,75097
271,35576,202548
272,41782,77941
273,44266,72155
274,22932,87426
275,36069,2716462
276,27528,82560
277,26032,68645
278,32158,114459
279,38100,74752
280,31992,147150
281,56457,148584
282,45668,68610
283,30885,115637
284,27005,148287
285,49438,73118
286,38514,63984
287,32652,114663
288,25944,88805
289,14954,85551
290,61179,93148
291,26540,117940
292,60937,90907
293,29513,254796
294,22253,76430
295,27272,76627
296,31282,857386
297,27795,71225
298,15533,68450
299,26676,96143
300,14357,66500
301,33529,132240
302,31144,102314
303,31111,217508
304,20834,75788
305,31128,84034
306,26736,67588
307,29191,155031
308,22446,95000
309,42391,137500
310,42104,191263
311,45078,65505
312,32958,126588
313,29978,390599
314,20208,67067
315,30005,321959
316,31988,621337
317,23174,225370
318,33136,68564
319,31845,67464
320,29227,126847
321,29586,77125
322,37037,146847
323,29751,393292
324,24303,191715
325,35931,66878
326,35251,611648
327,81841,68297
328,57696,103709
329,55565,76727
330,42127,71397
331,43849,68721
332,41996,95711
333,35545,70108
334,52178,68400
335,42008,80265
336,55662,69519
337,38884,683015
338,34261,95664
339,45924,113631
340,32207,89415
341,41039,72045
342,24487,80183
343,32224,111343
344,31557,94064
345,31259,95110
346,59679,88989
347,46582,94165
348,50231,81361
349,26587,154763
350,32460,185685
351,25748,121461
352,25719,94497
353,24677,673103
354,50902,81048
355,17141,96439
356,27050,198811
357,19187,75802
358,25272,115451
359,39643,94108
360,56816,74198
361,37964,73203
362,36203,132628
363,56828,83826
364,31150,135029
365,31720,81750
366,30863,75938
367,40923,85863
368,40788,80573
369,24537,86048
370,47279,66623
371,60702,71069
372,34941,422326
373,57084,78388
374,43153,115733
375,24137,65403
376,30910,306604
377,51021,69755
378,22361,71812
379,25822,167250
380,21425,121720
381,31315,117308
382,33575,488825
383,48917,97101
384,47369,87578
385,31624,70335
386,27368,76643
387,31207,308626
388,23704,167376
389,31913,109642
390,21162,73338
391,31268,284734
392,33114,466903
393,40643,168011
394,40362,302535
395,32753,641708
396,31030,242949
397,28957,235123
398,32191,248860
399,33493,100878
400,31513,211280
401,26545,193055
402,34924,111194
403,37240,88350
404,40434,67178
405,18053,74534
406,33516,86615
407,30979,65399
408,27228,130222
409,41965,270750
410,27435,285156
411,21725,71245
412,26269,148678
413,43637,89861
414,24982,84971
415,24131,70409
416,31177,558558
417,23338,101706
418,32216,96168
419,30986,83763
420,29071,98252
421,31164,66458
422,25127,258592
423,32020,73232
424,35422,68702
425,37697,79956
426,38430,8622698
427,27261,208049
428,27165,65626
429,24940,143398
430,36078,202008
431,31284,91916
432,54170,166032
433,36267,859052
434,37283,92072
435,36968,267932
436,24873,209913
437,28018,76606
438,29366,290201
439,22473,92171
440,29748,111213
441,23289,72448
442,37442,464972
443,30746,119048
444,29269,244592
445,38675,71574
446,31331,123590
447,23812,197849
448,20206,70893
449,28547,301305
450,25057,385552
451,31401,881901
452,19329,140379
453,24322,63840
454,32553,79159
455,26159,276494
456,20665,64585
457,37309,110468
458,37049,91936
459,23740,93717
460,26564,122842
461,31589,643574
462,29511,402227
463,36849,97529
464,31498,94527
465,23891,168909
466,32407,111039
467,40179,106903
468,28746,81777
469,36382,648121
470,30576,169790
471,23154,121278
472,31613,76469
473,22097,97369
474,32011,1580863
475,30239,302414
476,20521,88418
477,26238,77597
478,41060,81192
479,29073,72006
480,25877,180388
481,42185,80873
482,38285,139906
483,21223,133578
484,33236,68223
485,50965,86668
486,24929,112742
487,30474,73064
488,27667,74418
489,32992,176898
490,29532,179130
491,31372,153210
492,41641,78311
493,28784,66856
494,22229,65816
495,25517,187344
496,27076,652231
497,30124,136372
498,33369,665967
499,24993,123304
500,54293,100679
501,30527,200558
502,32291,396407
503,50481,84443
504,39883,950714
505,35256,77862
506,28144,119126
507,21850,183292
508,25962,84029
509,40596,135709
510,50687,75238
511,19059,113563
512,35802,84379
513,30697,325600
514,31587,1341103
515,25379,136266
516,25938,90271
517,26045,683583
518,62180,76592
519,35100,876060
520,60738,177281
521,30503,237607
522,31945,70696
523,35715,193812
524,22654,65462
525,31533,2313230
526,35623,240369
527,27123,145484
528,25433,261935
529,56213,105105
530,38439,106656
531,24747,83081
532,24477,253887
533,22742,142699
534,46308,181330
535,46941,69007
536,31363,143822
537,46041,136090
538,21484,84428
539,41557,72519
540,36086,82306
541,38616,70446
542,34504,117105
543,27180,153533
544,54439,125198
545,24503,79491
546,50628,285312
547,40847,116783
548,36943,123560
549,28254,94940
550,29668,1511913
551,54042,88488
552,30932,74494
553,53127,115097
554,26763,104998
555,29965,67102
556,22257,136437
557,26512,104745
558,32120,76694
559,26532,87037
560,23866,97840
561,15429,117331
562,26231,84390
563,31105,200538
564,37320,96146
565,50295,70953
566,32266,113921
567,30624,136166
568,54026,160035
569,69451,234965
570,46155,78355
571,40292,240397
572,36478,70223
573,29576,134669
574,19765,80995
575,31163,179388
576,26247,244703
577,29922,94572
578,28264,227032
579,28662,99837
580,37271,90237
581,36753,450435
582,36916,79619
583,73092,144459
584,29717,89044
585,33500,110086
586,35160,96691
587,28934,81601
588,35437,128463
589,62493,88630
590,41718,68859
591,30544,67205
592,40733,101372
593,51851,724764
594,30417,217096
595,30968,97858
596,35783,213426
597,34927,175661
598,25435,93669
599,32316,73984
600,27679,69835
601,29731,105114
602,29704,99875
603,32303,255239
604,27798,595365
605,28201,66668
606,28813,77555
607,37579,72483
